matchup,ktau,spearman
indegree/klout_score,0.6545,0.4705
indegree/kred_influence,0.5816,0.4086
authority/indegree,0.8287,0.6520
closnesscentrality/indegree,1.0000,0.9778
betweenesscentrality/indegree,0.6545,0.4705
indegree/statuses_count,0.5816,0.4086
followers_count/indegree,-0.7338,-0.5517
eigencentrality/indegree,-0.4247,-0.2947
clustering/indegree,-0.3988,-0.2733
final_term_score/indegree,-0.7338,-0.5517
indegree/interaction_count,0.8107,0.6448
klout_score/kred_influence,0.5708,0.4050
authority/klout_score,0.5638,0.3915
closnesscentrality/klout_score,0.8107,0.6448
betweenesscentrality/klout_score,-0.7230,-0.5747
klout_score/statuses_count,0.4049,0.2765
followers_count/klout_score,0.6816,0.4944
eigencentrality/klout_score,0.8916,0.7124
clustering/klout_score,0.4049,0.2765
final_term_score/klout_score,-0.3301,-0.2222
interaction_count/klout_score,0.4444,0.3013
authority/kred_influence,0.6986,0.5095
closnesscentrality/kred_influence,0.8373,0.6557
betweenesscentrality/kred_influence,0.8857,0.7096
kred_influence/statuses_count,0.6986,0.5095
followers_count/kred_influence,-0.4875,-0.3393
eigencentrality/kred_influence,0.6797,0.4923
clustering/kred_influence,0.7719,0.5680
final_term_score/kred_influence,0.9722,0.8652
interaction_count/kred_influence,0.6241,0.4451
authority/closnesscentrality,0.5494,0.3871
authority/betweenesscentrality,0.9722,0.8652
authority/statuses_count,-0.7854,-0.6115
authority/followers_count,0.8016,0.6420
authority/eigencentrality,0.3991,0.2741
authority/clustering,0.6809,0.4969
authority/final_term_score,-0.3008,-0.2333
authority/interaction_count,-0.3975,-0.2803
betweenesscentrality/closnesscentrality,-0.4886,-0.3470
closnesscentrality/statuses_count,-0.3008,-0.2333
closnesscentrality/followers_count,0.2707,0.2220
closnesscentrality/eigencentrality,-0.5290,-0.4172
closnesscentrality/clustering,-0.4601,-0.3175
closnesscentrality/final_term_score,-0.5177,-0.3766
closnesscentrality/interaction_count,-0.2772,-0.2217
betweenesscentrality/statuses_count,0.2231,0.1021
betweenesscentrality/followers_count,0.1035,0.0475
betweenesscentrality/eigencentrality,0.1404,0.0639
betweenesscentrality/clustering,0.2231,0.1021
betweenesscentrality/final_term_score,-0.2629,-0.1210
betweenesscentrality/interaction_count,0.2411,0.1108
followers_count/statuses_count,0.1862,0.0847
eigencentrality/statuses_count,0.1464,0.0670
clustering/statuses_count,0.2618,0.1197
final_term_score/statuses_count,-0.1317,-0.0610
interaction_count/statuses_count,0.7973,0.5977
eigencentrality/followers_count,0.6780,0.4910
clustering/followers_count,0.6346,0.4497
final_term_score/followers_count,0.7973,0.5977
followers_count/interaction_count,-0.4763,-0.3344
clustering/eigencentrality,0.6715,0.4878
eigencentrality/final_term_score,0.4252,0.2959
eigencentrality/interaction_count,0.6214,0.4469
clustering/final_term_score,0.7257,0.5293
clustering/interaction_count,-0.2879,-0.2068
final_term_score/interaction_count,0.1419,0.0640
