matchup,ktau,spearman
indegree/klout_score,0.5935,0.4201
indegree/kred_influence,0.6894,0.5171
authority/indegree,0.7576,0.5731
closnesscentrality/indegree,1.0000,0.9784
betweenesscentrality/indegree,0.5935,0.4201
indegree/statuses_count,0.6894,0.5171
followers_count/indegree,-0.7688,-0.6041
eigencentrality/indegree,-0.3935,-0.2685
clustering/indegree,-0.4561,-0.3245
final_term_score/indegree,-0.7688,-0.6041
indegree/interaction_count,0.8552,0.6886
klout_score/kred_influence,0.5937,0.4201
authority/klout_score,0.6140,0.4473
closnesscentrality/klout_score,0.8552,0.6886
betweenesscentrality/klout_score,-0.6783,-0.5430
klout_score/statuses_count,0.5588,0.4042
followers_count/klout_score,0.6014,0.4282
eigencentrality/klout_score,0.8777,0.7051
clustering/klout_score,0.5588,0.4042
final_term_score/klout_score,-0.4177,-0.2961
interaction_count/klout_score,0.4757,0.3382
authority/kred_influence,0.6427,0.4798
closnesscentrality/kred_influence,0.7118,0.5281
betweenesscentrality/kred_influence,0.8510,0.6674
kred_influence/statuses_count,0.6427,0.4798
followers_count/kred_influence,-0.4648,-0.3337
eigencentrality/kred_influence,0.6384,0.4775
clustering/kred_influence,0.7613,0.5763
final_term_score/kred_influence,0.9747,0.8642
interaction_count/kred_influence,0.5414,0.3807
authority/closnesscentrality,0.6561,0.4901
authority/betweenesscentrality,0.9747,0.8642
authority/statuses_count,-0.7957,-0.6411
authority/followers_count,0.8262,0.6490
authority/eigencentrality,0.5515,0.4001
authority/clustering,0.6126,0.4548
authority/final_term_score,-0.1731,-0.1520
authority/interaction_count,-0.2789,-0.1982
betweenesscentrality/closnesscentrality,-0.2644,-0.1938
closnesscentrality/statuses_count,-0.1731,-0.1520
closnesscentrality/followers_count,0.0746,0.0781
closnesscentrality/eigencentrality,-0.2614,-0.2196
closnesscentrality/clustering,-0.1827,-0.1318
closnesscentrality/final_term_score,-0.3241,-0.2464
closnesscentrality/interaction_count,-0.1040,-0.0968
betweenesscentrality/statuses_count,0.3195,0.1769
betweenesscentrality/followers_count,0.0700,0.0377
betweenesscentrality/eigencentrality,0.0794,0.0426
betweenesscentrality/clustering,0.3195,0.1769
betweenesscentrality/final_term_score,-0.2735,-0.1519
betweenesscentrality/interaction_count,0.2541,0.1404
followers_count/statuses_count,0.0397,0.0203
eigencentrality/statuses_count,0.0436,0.0238
clustering/statuses_count,0.3325,0.1843
final_term_score/statuses_count,0.0736,0.0405
interaction_count/statuses_count,0.7538,0.5590
eigencentrality/followers_count,0.6572,0.4747
clustering/followers_count,0.6178,0.4465
final_term_score/followers_count,0.7538,0.5590
followers_count/interaction_count,-0.5083,-0.3541
clustering/eigencentrality,0.6771,0.4874
eigencentrality/final_term_score,0.4176,0.2923
eigencentrality/interaction_count,0.4935,0.3518
clustering/final_term_score,0.6994,0.5100
clustering/interaction_count,-0.1800,-0.1372
final_term_score/interaction_count,0.2254,0.1235
