matchup,ktau,spearman
indegree/klout_score,0.6974,0.5122
indegree/kred_influence,0.7072,0.5204
authority/indegree,0.8193,0.6375
closnesscentrality/indegree,1.0000,0.9753
betweenesscentrality/indegree,0.6974,0.5122
indegree/statuses_count,0.7072,0.5204
followers_count/indegree,-0.7253,-0.5367
eigencentrality/indegree,-0.4234,-0.2893
clustering/indegree,-0.4314,-0.2951
final_term_score/indegree,-0.7253,-0.5367
indegree/interaction_count,0.9059,0.7415
klout_score/kred_influence,0.6519,0.4722
authority/klout_score,0.6639,0.4805
closnesscentrality/klout_score,0.9059,0.7415
betweenesscentrality/klout_score,-0.7546,-0.5810
klout_score/statuses_count,0.5154,0.3605
followers_count/klout_score,0.6460,0.4616
eigencentrality/klout_score,0.8622,0.6892
clustering/klout_score,0.5154,0.3605
final_term_score/klout_score,-0.3708,-0.2550
interaction_count/klout_score,0.5045,0.3504
authority/kred_influence,0.7819,0.5989
closnesscentrality/kred_influence,0.8120,0.6205
betweenesscentrality/kred_influence,0.8571,0.6674
kred_influence/statuses_count,0.7819,0.5989
followers_count/kred_influence,-0.5312,-0.3712
eigencentrality/kred_influence,0.7432,0.5597
clustering/kred_influence,0.7129,0.5209
final_term_score/kred_influence,0.9819,0.8845
interaction_count/kred_influence,0.6622,0.4815
authority/closnesscentrality,0.6814,0.5012
authority/betweenesscentrality,0.9819,0.8845
authority/statuses_count,-0.7415,-0.5574
authority/followers_count,0.8860,0.7124
authority/eigencentrality,0.5176,0.3632
authority/clustering,0.7561,0.5764
authority/final_term_score,-0.5159,-0.4118
authority/interaction_count,-0.5184,-0.3781
betweenesscentrality/closnesscentrality,-0.5027,-0.3670
closnesscentrality/statuses_count,-0.5159,-0.4118
closnesscentrality/followers_count,0.3311,0.2554
closnesscentrality/eigencentrality,-0.5311,-0.4324
closnesscentrality/clustering,-0.3809,-0.2628
closnesscentrality/final_term_score,-0.5693,-0.4267
closnesscentrality/interaction_count,-0.4534,-0.3581
betweenesscentrality/statuses_count,0.3033,0.1833
betweenesscentrality/followers_count,0.1020,0.0600
betweenesscentrality/eigencentrality,0.0879,0.0515
betweenesscentrality/clustering,0.3033,0.1833
betweenesscentrality/final_term_score,-0.2547,-0.1520
betweenesscentrality/interaction_count,0.2698,0.1614
followers_count/statuses_count,0.0100,0.0054
eigencentrality/statuses_count,0.1130,0.0674
clustering/statuses_count,0.3122,0.1888
final_term_score/statuses_count,-0.0333,-0.0206
interaction_count/statuses_count,0.7465,0.5564
eigencentrality/followers_count,0.7033,0.5185
clustering/followers_count,0.6644,0.4808
final_term_score/followers_count,0.7465,0.5564
followers_count/interaction_count,-0.4583,-0.3116
clustering/eigencentrality,0.6852,0.4989
eigencentrality/final_term_score,0.4316,0.2953
eigencentrality/interaction_count,0.6155,0.4406
clustering/final_term_score,0.6995,0.5123
clustering/interaction_count,-0.4738,-0.3479
final_term_score/interaction_count,0.2099,0.1251
