matchup,ktau,spearman
indegree/klout_score,0.6811,0.5015
indegree/kred_influence,0.6530,0.4786
authority/indegree,0.8869,0.7104
closnesscentrality/indegree,1.0000,0.9454
betweenesscentrality/indegree,0.6811,0.5015
indegree/statuses_count,0.6530,0.4786
followers_count/indegree,-0.5895,-0.4334
eigencentrality/indegree,-0.3928,-0.2602
clustering/indegree,-0.4215,-0.2803
final_term_score/indegree,-0.5895,-0.4334
indegree/interaction_count,0.8875,0.7032
klout_score/kred_influence,0.6134,0.4410
authority/klout_score,0.5751,0.4085
closnesscentrality/klout_score,0.8875,0.7032
betweenesscentrality/klout_score,-0.5200,-0.3974
klout_score/statuses_count,0.4808,0.3340
followers_count/klout_score,0.6775,0.4910
eigencentrality/klout_score,0.8572,0.6789
clustering/klout_score,0.4808,0.3340
final_term_score/klout_score,-0.3141,-0.2099
interaction_count/klout_score,0.4292,0.2947
authority/kred_influence,0.6885,0.5069
closnesscentrality/kred_influence,0.8103,0.6224
betweenesscentrality/kred_influence,0.8466,0.6667
kred_influence/statuses_count,0.6885,0.5069
followers_count/kred_influence,-0.4788,-0.3247
eigencentrality/kred_influence,0.6502,0.4751
clustering/kred_influence,0.7560,0.5662
final_term_score/kred_influence,0.9475,0.8050
interaction_count/kred_influence,0.6049,0.4367
authority/closnesscentrality,0.6039,0.4349
authority/betweenesscentrality,0.9475,0.8050
authority/statuses_count,-0.6112,-0.4809
authority/followers_count,0.8326,0.6425
authority/eigencentrality,0.4775,0.3342
authority/clustering,0.6394,0.4720
authority/final_term_score,-0.2248,-0.1995
authority/interaction_count,-0.3853,-0.2693
betweenesscentrality/closnesscentrality,-0.4226,-0.2978
closnesscentrality/statuses_count,-0.2248,-0.1995
closnesscentrality/followers_count,0.2564,0.2148
closnesscentrality/eigencentrality,-0.2236,-0.1880
closnesscentrality/clustering,-0.3082,-0.2172
closnesscentrality/final_term_score,-0.4197,-0.3072
closnesscentrality/interaction_count,-0.1688,-0.1594
betweenesscentrality/statuses_count,0.1927,0.0849
betweenesscentrality/followers_count,0.0362,0.0159
betweenesscentrality/eigencentrality,-0.0480,-0.0225
betweenesscentrality/clustering,0.1927,0.0849
betweenesscentrality/final_term_score,-0.1400,-0.0625
betweenesscentrality/interaction_count,0.2177,0.0973
followers_count/statuses_count,-0.0710,-0.0328
eigencentrality/statuses_count,-0.0345,-0.0157
clustering/statuses_count,0.1764,0.0782
final_term_score/statuses_count,0.0675,0.0305
interaction_count/statuses_count,0.7053,0.5163
eigencentrality/followers_count,0.6936,0.5106
clustering/followers_count,0.6114,0.4347
final_term_score/followers_count,0.7053,0.5163
followers_count/interaction_count,-0.3347,-0.2254
clustering/eigencentrality,0.6596,0.4700
eigencentrality/final_term_score,0.3588,0.2431
eigencentrality/interaction_count,0.4778,0.3357
clustering/final_term_score,0.5942,0.4182
clustering/interaction_count,-0.3168,-0.2209
final_term_score/interaction_count,0.1215,0.0538
