matchup,ktau,spearman
indegree/klout_score,0.5197,0.3640
indegree/kred_influence,0.5885,0.4271
authority/indegree,0.7081,0.5242
closnesscentrality/indegree,1.0000,0.9864
betweenesscentrality/indegree,0.5197,0.3640
indegree/statuses_count,0.5885,0.4271
followers_count/indegree,-0.7596,-0.6030
eigencentrality/indegree,-0.2891,-0.1975
clustering/indegree,-0.3360,-0.2357
final_term_score/indegree,-0.7596,-0.6030
indegree/interaction_count,0.8656,0.7018
klout_score/kred_influence,0.5255,0.3704
authority/klout_score,0.5533,0.3958
closnesscentrality/klout_score,0.8656,0.7018
betweenesscentrality/klout_score,-0.6725,-0.5439
klout_score/statuses_count,0.4404,0.3112
followers_count/klout_score,0.5390,0.3785
eigencentrality/klout_score,0.8519,0.6745
clustering/klout_score,0.4404,0.3112
final_term_score/klout_score,-0.2516,-0.1784
interaction_count/klout_score,0.4266,0.2996
authority/kred_influence,0.5524,0.4019
closnesscentrality/kred_influence,0.6888,0.5031
betweenesscentrality/kred_influence,0.8297,0.6411
kred_influence/statuses_count,0.5524,0.4019
followers_count/kred_influence,-0.3495,-0.2528
eigencentrality/kred_influence,0.5883,0.4307
clustering/kred_influence,0.7385,0.5543
final_term_score/kred_influence,0.9772,0.8724
interaction_count/kred_influence,0.4415,0.3071
authority/closnesscentrality,0.5280,0.3865
authority/betweenesscentrality,0.9772,0.8724
authority/statuses_count,-0.7925,-0.6522
authority/followers_count,0.8270,0.6505
authority/eigencentrality,0.4049,0.2914
authority/clustering,0.4794,0.3522
authority/final_term_score,-0.2539,-0.2115
authority/interaction_count,-0.3476,-0.2463
betweenesscentrality/closnesscentrality,-0.3540,-0.2531
closnesscentrality/statuses_count,-0.2539,-0.2115
closnesscentrality/followers_count,0.1499,0.1270
closnesscentrality/eigencentrality,-0.3455,-0.2829
closnesscentrality/clustering,-0.2646,-0.1857
closnesscentrality/final_term_score,-0.3912,-0.2891
closnesscentrality/interaction_count,-0.1716,-0.1484
betweenesscentrality/statuses_count,0.3334,0.1771
betweenesscentrality/followers_count,0.0039,0.0016
betweenesscentrality/eigencentrality,0.0155,0.0075
betweenesscentrality/clustering,0.3334,0.1771
betweenesscentrality/final_term_score,-0.3251,-0.1734
betweenesscentrality/interaction_count,0.2437,0.1292
followers_count/statuses_count,-0.0197,-0.0118
eigencentrality/statuses_count,-0.0085,-0.0047
clustering/statuses_count,0.3662,0.1946
final_term_score/statuses_count,-0.0104,-0.0053
interaction_count/statuses_count,0.7494,0.5546
eigencentrality/followers_count,0.6281,0.4500
clustering/followers_count,0.6291,0.4530
final_term_score/followers_count,0.7494,0.5546
followers_count/interaction_count,-0.4850,-0.3415
clustering/eigencentrality,0.6705,0.4851
eigencentrality/final_term_score,0.4257,0.2979
eigencentrality/interaction_count,0.4571,0.3217
clustering/final_term_score,0.7040,0.5134
clustering/interaction_count,-0.2891,-0.2134
final_term_score/interaction_count,0.2073,0.1091
