matchup,ktau,spearman
indegree/klout_score,0.6738,0.4894
indegree/kred_influence,0.6382,0.4591
authority/indegree,0.8612,0.6789
closnesscentrality/indegree,1.0000,0.9744
betweenesscentrality/indegree,0.6738,0.4894
indegree/statuses_count,0.6382,0.4591
followers_count/indegree,-0.7872,-0.6021
eigencentrality/indegree,-0.4727,-0.3280
clustering/indegree,-0.4237,-0.2948
final_term_score/indegree,-0.7872,-0.6021
indegree/interaction_count,0.8936,0.7354
klout_score/kred_influence,0.6600,0.4794
authority/klout_score,0.6246,0.4516
closnesscentrality/klout_score,0.8936,0.7354
betweenesscentrality/klout_score,-0.7533,-0.5848
klout_score/statuses_count,0.5003,0.3484
followers_count/klout_score,0.7218,0.5238
eigencentrality/klout_score,0.8796,0.7014
clustering/klout_score,0.5003,0.3484
final_term_score/klout_score,-0.3705,-0.2596
interaction_count/klout_score,0.5142,0.3616
authority/kred_influence,0.7196,0.5386
closnesscentrality/kred_influence,0.8330,0.6434
betweenesscentrality/kred_influence,0.8659,0.6874
kred_influence/statuses_count,0.7196,0.5386
followers_count/kred_influence,-0.5331,-0.3797
eigencentrality/kred_influence,0.6934,0.5149
clustering/kred_influence,0.7471,0.5532
final_term_score/kred_influence,0.9722,0.8555
interaction_count/kred_influence,0.6247,0.4482
authority/closnesscentrality,0.5951,0.4243
authority/betweenesscentrality,0.9722,0.8555
authority/statuses_count,-0.8252,-0.6442
authority/followers_count,0.8715,0.6984
authority/eigencentrality,0.4907,0.3436
authority/clustering,0.6949,0.5206
authority/final_term_score,-0.3303,-0.2694
authority/interaction_count,-0.4168,-0.3133
betweenesscentrality/closnesscentrality,-0.4633,-0.3468
closnesscentrality/statuses_count,-0.3303,-0.2694
closnesscentrality/followers_count,0.2252,0.1849
closnesscentrality/eigencentrality,-0.4001,-0.3280
closnesscentrality/clustering,-0.4200,-0.3039
closnesscentrality/final_term_score,-0.4355,-0.3361
closnesscentrality/interaction_count,-0.2815,-0.2262
betweenesscentrality/statuses_count,0.1708,0.0855
betweenesscentrality/followers_count,-0.0069,-0.0042
betweenesscentrality/eigencentrality,-0.0558,-0.0288
betweenesscentrality/clustering,0.1708,0.0855
betweenesscentrality/final_term_score,-0.2136,-0.1071
betweenesscentrality/interaction_count,0.1370,0.0684
followers_count/statuses_count,-0.0427,-0.0231
eigencentrality/statuses_count,0.0019,0.0006
clustering/statuses_count,0.2082,0.1049
final_term_score/statuses_count,0.0498,0.0256
interaction_count/statuses_count,0.7649,0.5678
eigencentrality/followers_count,0.7191,0.5264
clustering/followers_count,0.6776,0.4922
final_term_score/followers_count,0.7649,0.5678
followers_count/interaction_count,-0.4987,-0.3531
clustering/eigencentrality,0.7164,0.5244
eigencentrality/final_term_score,0.4925,0.3439
eigencentrality/interaction_count,0.6050,0.4299
clustering/final_term_score,0.6869,0.4949
clustering/interaction_count,-0.3527,-0.2636
final_term_score/interaction_count,0.0410,0.0206
