matchup,ktau,spearman
indegree/klout_score,0.6087,0.4299
indegree/kred_influence,0.6585,0.4781
authority/indegree,0.7768,0.6060
closnesscentrality/indegree,1.0000,0.8403
betweenesscentrality/indegree,0.6087,0.4299
indegree/statuses_count,0.6585,0.4781
followers_count/indegree,-0.4987,-0.3400
eigencentrality/indegree,-0.2290,-0.1618
clustering/indegree,-0.1745,-0.1063
final_term_score/indegree,-0.4987,-0.3400
indegree/interaction_count,0.7592,0.5204
klout_score/kred_influence,0.4593,0.3067
authority/klout_score,0.5463,0.3649
closnesscentrality/klout_score,0.7592,0.5204
betweenesscentrality/klout_score,-0.3163,-0.2136
klout_score/statuses_count,0.5108,0.3506
followers_count/klout_score,0.5683,0.4262
eigencentrality/klout_score,0.8673,0.7176
clustering/klout_score,0.5108,0.3506
final_term_score/klout_score,-0.1789,-0.1095
interaction_count/klout_score,0.4778,0.3152
authority/kred_influence,0.7661,0.5653
closnesscentrality/kred_influence,0.7159,0.5516
betweenesscentrality/kred_influence,0.8413,0.6642
kred_influence/statuses_count,0.7661,0.5653
followers_count/kred_influence,-0.2741,-0.1830
eigencentrality/kred_influence,0.5935,0.3945
clustering/kred_influence,0.7045,0.5436
final_term_score/kred_influence,0.9848,0.8065
interaction_count/kred_influence,0.5649,0.4045
authority/closnesscentrality,0.6237,0.4506
authority/betweenesscentrality,0.9848,0.8065
authority/statuses_count,-0.5329,-0.3770
authority/followers_count,0.7758,0.5489
authority/eigencentrality,0.4948,0.3443
authority/clustering,0.7440,0.5399
authority/final_term_score,0.2851,0.1311
authority/interaction_count,0.1777,0.1021
betweenesscentrality/closnesscentrality,0.2172,0.1333
closnesscentrality/statuses_count,0.2851,0.1311
closnesscentrality/followers_count,-0.2293,-0.1042
closnesscentrality/eigencentrality,0.2243,0.0947
closnesscentrality/clustering,0.1670,0.1153
closnesscentrality/final_term_score,0.1296,0.0724
closnesscentrality/interaction_count,0.3010,0.1248
betweenesscentrality/statuses_count,-0.1536,-0.0222
betweenesscentrality/followers_count,-0.0966,-0.0143
betweenesscentrality/eigencentrality,-0.1467,-0.0217
betweenesscentrality/clustering,-0.1536,-0.0222
betweenesscentrality/final_term_score,-0.1863,-0.0275
betweenesscentrality/interaction_count,-0.1216,-0.0169
followers_count/statuses_count,-0.0465,-0.0069
eigencentrality/statuses_count,-0.1324,-0.0196
clustering/statuses_count,-0.1528,-0.0222
final_term_score/statuses_count,-0.1497,-0.0217
interaction_count/statuses_count,0.3821,0.2581
eigencentrality/followers_count,0.5577,0.3845
clustering/followers_count,0.5763,0.3998
final_term_score/followers_count,0.3821,0.2581
followers_count/interaction_count,-0.0349,-0.0249
clustering/eigencentrality,0.2738,0.1713
eigencentrality/final_term_score,0.3985,0.2734
eigencentrality/interaction_count,0.3174,0.2205
clustering/final_term_score,0.3468,0.2306
clustering/interaction_count,0.1056,0.0735
final_term_score/interaction_count,-0.1764,-0.0259
